guardian_ID,guardian_forename,guardian_surname,DOB
1,Clara,van der Berg,1955-05-14
2,Emma,Jensen,1964-02-13
3,Felix,Weber,1970-12-04
4,Arjun,Patel,1969-03-08
5,Tariq,Mustafa,1968-11-28
6,Kim,Min-joon,1971-04-27
7,Rachel,McFadden,1959-03-19
8,Layla,Abbas,1958-04-03
9,Jakub,Nowak,1963-07-05
10,Sergei,Popov,1969-06-11
11,Isabella,Schmidt,1957-01-29
12,Aisha,Jamal,1975-12-12
13,Nikos,Antoniou,1969-11-05
14,Arthur,Dupont,1972-05-09
15,Oliver,Turner,1965-05-11
16,Li Wei,Wei,1974-09-16
17,Katerina,Ioannou,1956-02-10
18,Natalia,Wojcik,1962-08-22
19,Sophie,O'Sullivan,1955-04-07
20,Zayd,Al-Hakim,1968-11-18
21,Chloe,Evans,1952-12-08
22,Ekaterina,Petrova,1959-03-29
23,Sophie,Laurent,1967-10-10
24,Aisha,Kapoor,1953-08-14
25,William,Turner,1969-01-05
26,Matthew,McKinsley,1966-01-17
27,Charlie,Anderson,1961-08-28
28,Alexander,Davis,1967-01-10
29,Maya,Sharma,1970-04-22
30,Elif,Demir,1967-12-05
31,Leo,Fischer,1966-06-03
32,Layla,Abbas,1953-08-17
33,Olivia,Hughes,1972-05-18
34,Arjun,Patel,1973-07-11
35,Liu Jing,Jing,1961-06-29
36,Andreas,Papadopoulos,1958-01-10
37,Zuzanna,Kowalska,1974-08-21
38,Emily,Thompson,1969-02-04
39,Lily,Carter,1973-04-15
40,João,Oliveira,1964-08-26
41,Jakub,Nowak,1976-01-18
42,Akshay,Desai,1966-03-13
43,Zayd,Al-Hakim,1962-10-09
44,Emily,Thompson,1968-11-22
45,Anjali,Kapoor,1955-06-16
46,Elif,Demir,1964-09-24
47,Sophie,Laurent,1977-07-12
